ID,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
10401,12,1,0,5,0,3,9,1,0,0,3,3
7793,12,641,7,84,0,30,38,3,10,4,7,6
9303,12,12,4,7,1,3,5,0,1,0,0,13
6853,12,712,26,538,69,13,80,1,3,6,11,1
7366,12,712,26,538,69,13,80,1,3,6,11,1
9780,12,465,25,132,136,0,37,2,8,3,13,4
7573,12,39,1,9,2,1,34,1,2,1,2,7
1379,12,154,2,46,20,4,15,1,4,2,4,4
8923,12,514,22,732,42,198,79,1,6,7,7,3
3547,12,14,7,9,6,16,12,2,2,0,3,6
8707,12,565,42,548,64,83,99,1,5,6,4,3
1891,12,667,50,850,21,83,83,1,4,6,5,2
6271,13,53,0,8,0,0,2,1,2,0,3,5
9635,13,66,2,40,4,3,14,1,3,1,3,6
9727,13,4,24,11,16,1,25,1,2,0,4,6
6205,13,34,3,29,0,4,10,3,2,1,3,5
10681,13,129,129,259,168,121,83,5,6,3,12,4
5156,13,129,129,259,168,121,83,5,6,3,12,4
3050,13,185,0,28,3,2,17,6,3,1,6,4
8164,13,1023,93,651,49,55,37,1,5,6,7,2
5626,13,338,4,89,11,8,13,1,4,2,9,4
7600,13,1,3,3,8,1,13,2,1,0,3,7
6406,13,647,107,391,175,67,40,1,6,4,10,3
7002,13,163,48,90,0,45,52,1,3,2,8,3
8234,13,1,6,7,0,1,3,1,1,0,2,8
6116,13,19,13,18,10,7,8,1,1,1,3,3
291,13,182,74,298,162,149,116,1,3,3,6,1
8779,13,56,4,76,17,1,18,4,4,1,3,9
4931,13,1,0,1725,2,1,1,0,0,28,0,1
1650,13,779,86,537,34,69,138,1,5,9,12,3
9701,13,32,34,41,73,16,116,3,4,2,3,7
6431,13,42,1,18,3,0,4,2,2,0,3,7
10789,13,42,1,18,3,0,4,2,2,0,3,7
5302,13,298,27,697,216,24,166,1,4,6,5,2
4459,13,10,4,14,4,4,1,1,1,0,3,8
10642,13,10,4,14,4,4,1,1,1,0,3,8
9213,13,4,1,5,2,0,3,1,1,0,2,8
3678,13,488,23,71,15,0,59,11,8,3,7,7
3698,13,817,185,687,145,55,241,1,4,6,8,2
5929,14,19,3,19,3,1,3,2,2,0,3,7
10795,14,19,3,19,3,1,3,2,2,0,3,7
4390,14,459,15,171,142,23,31,2,5,4,12,2
9362,14,492,5,32,13,5,21,1,9,1,7,6
1577,14,558,79,622,207,175,95,1,4,6,4,1
4609,14,383,0,53,6,4,40,3,8,1,6,6
7143,14,209,162,209,41,162,37,5,4,7,10,2
1729,14,1043,24,97,32,24,157,2,3,5,10,6
10664,14,400,4,35,6,0,22,2,9,1,5,8
5029,14,3,1,2,4,3,1,1,0,0,3,5
10507,14,691,7,69,0,7,23,4,2,2,7,8
3865,14,2,12,10,6,13,30,1,3,1,2,8
6982,14,783,30,537,140,76,15,1,4,10,9,2
7042,14,3,3,14,15,21,10,1,2,1,2,9
9668,14,4,16,20,0,17,20,3,2,0,4,8
6878,14,43,12,96,78,40,55,3,4,1,6,7
4099,14,10,2,16,11,2,21,1,1,0,3,8
5031,14,777,35,731,39,137,114,1,5,9,11,2
1970,14,63,0,21,7,0,12,1,3,0,3,8
5726,15,16,7,23,0,8,6,3,3,0,4,5
5231,15,27,2,7,0,2,13,1,1,0,3,5
1307,15,27,5,8,8,3,12,3,3,0,4,4
10609,15,71,0,13,3,1,0,2,1,1,4,4
5782,15,402,35,106,101,77,42,2,9,2,9,5
7533,15,144,1,32,2,1,7,4,4,1,4,7
9493,15,840,53,804,23,71,17,1,5,4,8,3
2253,15,32,0,8,23,4,18,1,1,0,4,6
2326,15,32,0,8,23,4,18,1,1,0,4,6
1876,15,32,0,8,23,4,18,1,1,0,4,6
7141,15,88,10,46,2,3,64,4,5,1,2,10
7393,15,56,5,24,4,0,3,3,2,1,3,5
4713,15,74,0,42,2,1,6,2,2,1,4,7
5093,15,40,3,30,10,7,11,3,3,0,3,9
8524,15,40,3,30,10,7,11,3,3,0,3,9
3766,15,100,71,243,108,94,219,3,9,1,8,9
9725,16,8,0,3,0,0,1,1,1,0,2,8
8933,16,26,3,23,4,7,3,2,2,0,4,6
10779,16,15,5,14,0,4,11,1,1,0,3,7
9289,16,29,1,17,0,3,13,1,2,1,2,8
2613,16,162,6,37,6,13,13,2,1,3,6,1
10133,16,1302,68,731,89,114,45,0,6,7,12,2
8443,16,6,10,12,3,15,40,3,3,1,2,8
10796,16,47,1,6,0,0,12,1,1,1,3,6
10241,16,0,0,0,6,2,6,1,1,0,2,6
3388,16,129,26,67,3,67,2,5,6,1,5,7
6507,16,16,11,15,2,0,12,2,1,1,4,3
7446,16,520,42,98,0,42,14,2,6,4,10,6
87,16,0,7,5,26,2,17,2,2,0,3,7
10477,16,71,0,18,0,0,13,1,3,1,2,7
6072,16,918,57,842,99,38,133,1,5,8,6,3
2518,16,5,4,5,4,2,10,1,0,1,2,7
247,16,172,10,125,21,13,16,6,7,2,4,9
9463,16,931,56,253,91,98,14,4,9,5,7,5
1459,16,666,35,124,69,8,26,1,5,3,5,3
9530,16,5,3,4,4,1,0,1,1,0,2,8
9653,16,27,1,14,4,1,21,2,2,0,3,8
10785,17,24,1,10,2,0,4,2,2,0,3,5
9392,17,4,1,11,0,0,1,1,1,0,2,7
3769,17,25,1,13,0,0,3,1,1,0,3,7
10146,17,25,1,13,0,0,3,1,1,0,3,7
4741,17,391,32,70,21,32,16,2,6,2,9,5
1880,17,81,0,6,0,0,6,2,2,1,3,5
6471,17,14,2,30,8,2,3,1,2,0,4,5
5718,17,674,168,108,192,42,231,1,5,11,6,3
3478,17,267,42,309,55,42,21,10,7,4,9,5
7848,17,224,2,25,7,0,110,2,5,3,3,6
7999,17,1239,17,413,23,34,17,1,5,6,5,2
11101,17,412,22,132,59,28,183,1,11,6,8,4
9212,17,1205,0,235,19,14,205,6,6,3,13,7
10983,17,304,98,230,150,74,74,1,6,3,13,3
3629,17,76,3,31,4,4,27,2,3,1,3,7
4673,17,1004,12,145,32,12,36,3,10,3,5,5
796,17,584,44,212,46,8,177,3,11,4,8,8
618,17,422,7,238,69,46,15,1,7,2,12,4
380,17,1170,48,320,42,32,192,5,11,4,9,8
1092,17,269,129,495,182,43,29,4,9,3,4,7
8962,18,26,0,8,0,0,3,2,2,0,3,5
8207,18,28,0,9,3,0,0,1,1,0,3,4
6521,18,613,22,319,33,102,12,1,4,6,9,1
535,18,163,23,424,27,65,76,1,3,10,13,1
4608,18,163,23,424,27,65,76,1,3,10,13,1
11086,18,1,6,2,3,6,3,1,1,0,3,7
1064,18,22,1,11,0,5,3,1,1,0,3,8
7000,18,279,172,74,38,8,246,1,2,10,10,1
1581,18,2,0,8,2,2,3,1,1,0,2,8
7384,18,113,61,204,34,26,47,2,7,1,7,8
10552,18,70,54,109,80,9,45,2,4,1,7,5
6409,18,267,140,599,34,12,127,1,7,5,7,6
9507,18,261,23,73,4,23,50,2,6,3,5,7
9560,18,856,61,570,40,25,122,1,7,6,8,3
10991,18,454,194,106,31,22,43,1,5,4,4,2
4712,18,8,8,22,24,11,9,1,1,1,4,4
11056,18,546,91,410,119,0,22,1,3,4,10,1
7414,18,96,1,42,12,3,32,4,3,1,4,8
3076,18,452,18,102,16,18,6,4,4,2,12,3
6355,19,20,0,14,7,3,1,3,2,0,4,3
7959,19,658,80,483,123,13,13,1,3,2,5,1
5512,19,451,0,39,0,4,24,1,7,1,8,5
10102,19,395,183,565,166,141,28,1,5,11,5,3
9369,19,688,14,309,201,24,38,1,11,10,10,5
3711,19,1035,134,670,25,38,0,1,6,3,10,3
6931,19,464,151,292,65,60,30,1,8,3,4,4
9596,19,365,32,117,34,110,6,1,3,3,13,2
2727,19,181,21,69,39,3,96,1,3,3,6,3
8416,19,6,6,15,10,5,2,2,2,0,3,6
3967,19,331,197,170,58,152,35,1,2,8,13,1
2139,19,3,1,10,3,2,12,3,2,0,3,5
2162,19,256,34,103,90,29,49,2,3,3,10,3
9242,19,836,185,575,24,25,77,1,6,3,9,4
10595,19,2,6,28,13,4,16,1,2,0,3,7
4855,19,14,0,24,3,3,2,1,3,0,2,9
5049,19,14,0,24,3,3,2,1,3,0,2,9
4967,19,233,0,23,0,0,12,4,5,1,5,8
5255,19,5,1,3,3,263,362,0,27,0,0,1
9215,19,378,0,101,0,0,72,5,6,4,6,7
3525,19,12,0,4,0,0,1,1,1,0,2,7
3619,19,345,25,501,63,138,80,1,5,3,8,2
4415,19,10,4,4,3,3,14,3,1,1,3,7
3645,19,19,3,26,10,9,3,3,2,0,4,8
4692,19,7,0,12,13,7,32,5,4,1,2,9
3955,20,2,1,1,1,0,1,0,0,0,0,14
5313,20,30,0,11,0,0,3,3,2,0,4,5
7196,20,9,0,3,0,0,1,1,0,0,3,3
1381,20,172,3,115,16,0,18,5,6,1,5,8
10951,20,279,0,18,0,0,9,2,3,1,8,4
4322,20,881,38,319,16,25,12,1,4,5,10,2
7444,20,19,0,9,0,0,2,2,1,0,3,8
2942,20,305,3,27,4,3,144,2,5,4,4,5
2874,20,6,4,7,4,3,8,1,1,0,3,7
3667,20,778,178,689,41,27,44,1,8,5,11,8
3697,20,69,8,26,12,7,12,2,3,0,4,7
9955,20,69,8,26,12,7,12,2,3,0,4,7
5320,20,79,7,58,6,3,18,4,3,1,4,6
6422,20,344,189,482,50,33,172,1,5,6,5,2
3690,20,1184,102,673,52,40,40,1,7,4,10,6
2408,20,490,0,184,10,28,21,12,7,4,9,7
9260,20,1349,16,249,43,16,33,2,10,6,9,6
9648,20,153,4,56,0,9,31,4,5,1,4,8
4939,20,84,5,38,150,12,28,2,4,1,6,7
8652,20,84,5,38,150,12,28,2,4,1,6,7
4702,20,1000,155,379,224,17,120,1,4,8,4,8
2587,21,14,0,6,0,0,0,2,2,0,3,5
2811,21,52,0,9,0,0,1,2,1,0,4,4
9150,21,52,0,9,0,0,1,2,1,0,4,4
10127,21,301,11,61,4,7,11,1,8,2,4,7
5493,21,15,0,2,0,0,6,1,1,0,2,6
2666,21,519,50,167,130,0,41,1,8,3,11,3
10099,21,238,115,215,169,69,76,3,5,3,13,4
10562,21,620,26,195,34,17,141,1,6,4,13,2
7881,21,620,26,195,34,17,141,1,6,4,13,2
6721,21,572,19,286,50,38,248,3,6,3,5,3
5204,21,380,98,733,110,112,28,1,8,8,5,3
5209,21,443,5,71,21,16,82,2,8,2,7,7
10128,21,620,16,165,0,24,82,5,5,5,12,5
9284,21,620,16,165,0,24,82,5,5,5,12,5
8643,21,252,98,827,219,70,196,1,4,5,12,3
1685,21,796,14,590,38,44,0,1,4,5,13,3
2877,21,410,0,59,19,9,44,10,7,1,8,7
8369,21,1,2,7,4,3,11,1,0,1,2,8
6233,21,507,19,364,25,47,9,3,9,5,10,7
195,21,125,17,52,3,19,30,4,5,1,4,8
1501,21,55,16,1622,17,3,4,15,0,28,1,0
10846,22,327,9,125,25,4,139,6,7,1,8,7
8341,22,15,0,6,0,1,12,2,1,1,2,7
10766,22,397,19,69,12,0,9,1,4,4,8,2
9971,22,397,19,69,12,0,9,1,4,4,8,2
1740,22,760,38,104,50,9,38,2,7,3,4,4
8737,22,29,1,9,2,0,2,1,2,0,3,3
6466,22,105,0,9,2,1,4,3,2,1,4,3
10430,22,1126,28,211,37,28,42,3,4,3,4,5
8773,22,280,0,18,0,0,24,3,5,1,6,7
2371,22,39,1,22,3,4,12,3,2,0,4,7
7786,22,68,7,59,10,5,11,4,3,1,4,8
4088,22,108,1,28,13,1,4,2,3,1,4,8
4971,22,108,1,28,13,1,4,2,3,1,4,8
